Date,Open,High,Low,Close,Volume
2024-06-18 19:59:00,446.581,446.59,446.42,446.59,321
2024-06-18 19:58:00,446.53,446.59,446.433,446.433,394
2024-06-18 19:57:00,446.545,446.56,446.5,446.53,949
2024-06-18 19:56:00,446.55,446.7,446.55,446.57,629
2024-06-18 19:55:00,446.502,446.65,446.5,446.62,67
2024-06-18 19:54:00,446.5,446.65,446.5,446.65,13
2024-06-18 19:53:00,446.6,446.7,446.5,446.52,385
2024-06-18 19:52:00,446.65,446.65,446.57,446.57,37
2024-06-18 19:51:00,446.61,446.65,446.57,446.57,1324
2024-06-18 19:50:00,446.64,446.65,446.5,446.612,297
2024-06-18 19:49:00,446.62,446.65,446.501,446.575,275
2024-06-18 19:48:00,446.575,446.65,446.575,446.575,4
2024-06-18 19:47:00,446.55,446.575,446.53,446.575,207
2024-06-18 19:46:00,446.645,446.68,446.645,446.65,120
2024-06-18 19:45:00,446.56,446.78,446.51,446.68,38
2024-06-18 19:44:00,446.645,446.77,446.51,446.645,43
2024-06-18 19:43:00,446.68,446.78,446.5,446.645,55
2024-06-18 19:42:00,446.6,446.78,446.6,446.68,9
2024-06-18 19:41:00,446.6,446.68,446.42,446.68,33
2024-06-18 19:39:00,446.61,446.78,446.52,446.6,154
2024-06-18 19:38:00,446.45,446.8,446.45,446.61,66
2024-06-18 19:37:00,446.7,446.8,446.5,446.61,115
2024-06-18 19:36:00,446.805,446.805,446.67,446.67,106
2024-06-18 19:35:00,446.41,446.805,446.41,446.805,47
2024-06-18 19:34:00,446.675,446.675,446.675,446.675,1
2024-06-18 19:33:00,446.4,446.94,446.4,446.78,26
2024-06-18 19:32:00,446.94,446.94,446.4,446.67,56
2024-06-18 19:31:00,446.58,446.67,446.58,446.67,17
2024-06-18 19:30:00,446.67,446.78,446.448,446.448,20
2024-06-18 19:29:00,446.67,446.78,446.67,446.67,21
2024-06-18 19:28:00,446.665,446.94,446.4,446.67,42
2024-06-18 19:27:00,446.78,446.78,446.398,446.665,216
2024-06-18 19:26:00,446.5,446.68,446.38,446.401,61
2024-06-18 19:25:00,446.404,447.03,446.404,447.03,129
2024-06-18 19:24:00,446.62,446.71,446.406,446.406,19
2024-06-18 19:23:00,446.416,446.85,446.416,446.85,132
2024-06-18 19:22:00,446.675,446.99,446.36,446.655,45
2024-06-18 19:21:00,446.67,446.78,446.36,446.69,45
2024-06-18 19:20:00,446.98,446.98,446.36,446.68,377
2024-06-18 19:19:00,446.99,446.99,446.675,446.85,8
2024-06-18 19:18:00,446.7,446.99,446.675,446.99,265
2024-06-18 19:17:00,446.75,447.15,446.36,446.68,1106
2024-06-18 19:16:00,446.98,447.15,446.85,446.85,223
2024-06-18 19:15:00,447.15,447.15,446.85,447.0,1114
2024-06-18 19:14:00,447.0,447.15,447.0,447.08,18
2024-06-18 19:13:00,447.05,447.25,446.85,447.02,18
2024-06-18 19:12:00,447.0,447.25,446.9,446.95,577
2024-06-18 19:11:00,447.081,447.081,446.925,446.94,75
2024-06-18 19:10:00,447.1,447.23,447.03,447.03,280
2024-06-18 19:09:00,447.05,447.25,447.05,447.05,9
